-,-,-
52, 30, 922
52, 5, 990
54, -16, 999
54, -16, 999
116, 55, 1024
143, 79, 1000
121, 29, 962
102, 12, 1006
102, 12, 1006
128, 21, 1049
196, 63, 1042
272, 92, 1029
304, 74, 986
304, 74, 986
365, 80, 972
430, 131, 893
446, 149, 951
426, 185, 1147
359, 127, 1174
359, 127, 1174
315, 79, 1066
300, 116, 1043
250, 118, 1106
183, 78, 1114
204, 126, 1039
199, 204, 1058
199, 204, 1058
94, 177, 1162
-44, 111, 1214
-100, 71, 1113
-142, 40, 996
-179, 63, 1024
-242, 44, 1100
-242, 44, 1100
-335, -59, 1070
-339, -67, 1011
-305, -35, 1000
-326, -48, 1053
-377, -115, 1052
-362, -136, 1016
-282, -110, 1066
-245, -74, 1184
-279, -106, 1370
-292, -191, 1496
-190, -149, 1392
-87, -47, 1359
-96, -43, 1496
-82, -27, 1529
-82, -27, 1529
-31, -33, 1378
4, 3, 1287
36, 12, 1278
22, -44, 1167
22, -44, 1167
6, -68, 986
2, -39, 966
-29, -48, 922
-61, -75, 734
-61, -75, 734
-91, -102, 661
-106, -57, 685
-135, -93, 641
-225, -177, 518
-286, -235, 471
-326, -281, 466
-380, -295, 428
-380, -295, 428
-446, -370, 502
-501, -444, 558
-475, -430, 516
-418, -395, 541
-403, -356, 686
-408, -340, 817
-385, -308, 899
-335, -263, 971
-304, -283, 983
-290, -287, 970
-211, -269, 992
-80, -210, 951
72, -119, 916
72, -119, 916
223, -43, 984
292, -30, 982
330, -27, 1025
317, -100, 987
381, -103, 760
381, -103, 760
484, 16, 709
461, 106, 840
356, 11, 968
269, -130, 777
269, -130, 619
164, -179, 619
77, -118, 614
68, -72, 782
59, -157, 794
15, -107, 672
15, -107, 672
-32, -27, 736
-62, -135, 821
-157, -234, 822
-220, -135, 942
-226, -46, 1138
-234, -108, 1293
-248, -103, 1431
-269, -52, 1430
-218, 14, 1521
-145, -29, 1484
-145, -29, 1484
-75, -42, 1333
-33, 51, 1464
-124, 2, 1563
-231, -105, 1490
-219, -99, 1397
-116, 20, 1331
-,-,-
108, 2, 1023
346, 47, 1010
382, -10, 923
339, -47, 970
339, -47, 970
360, -46, 1069
391, 21, 1131
443, 124, 1275
502, 173, 1279
464, 142, 1095
370, 73, 984
370, 73, 984
294, 26, 1035
261, 22, 1029
258, 83, 960
258, 83, 960
229, 139, 981
139, 147, 1100
-9, 103, 1125
-198, -26, 1124
-313, -51, 1123
-395, -54, 1134
-395, -54, 1044
-417, -80, 1044
-445, -134, 914
-468, -180, 894
-488, -182, 1086
-498, -206, 1417
-524, -284, 1565
-478, -367, 1682
-355, -434, 1717
-232, -419, 1757
-159, -319, 1929
-104, -176, 1902
-40, -43, 1737
145, 215, 1540
267, 259, 975
196, 186, 836
196, 186, 836
100, 88, 519
55, 22, 547
66, 98, 465
66, 98, 465
-4, 32, 294
-66, -34, 188
-130, -110, 180
-224, -222, 180
-340, -293, 362
-340, -293, 362
-464, -329, 608
-549, -322, 758
-618, -349, 726
-704, -414, 796
-754, -449, 985
-721, -430, 1034
-656, -342, 926
-546, -301, 843
-446, -263, 836
-307, -181, 809
-184, -128, 809
-57, -89, 903
46, -42, 982
46, -42, 982
120, -44, 1043
230, -95, 1047
456, -46, 1000
667, 94, 995
667, 94, 995
774, 182, 926
746, 96, 915
649, -23, 923
561, -34, 917
561, -34, 917
401, -20, 1013
193, -58, 1036
91, -115, 894
44, -140, 633
96, -29, 349
96, -29, 349
157, 91, 321
141, 158, 450
59, 139, 472
-7, 139, 410
-7, 118, 410
-90, 61, 405
-162, -77, 594
-248, -269, 846
-263, -317, 1004
-255, -220, 1193
-278, -124, 1483
-334, -140, 1493
-304, -194, 1606
-237, -119, 1670
-237, -119, 1670
-204, -72, 1704
-189, 7, 1894
-149, 12, 1805
-104, 11, 1670
-116, 5, 1359
-105, 23, 1103
-,-,-
446, 31, 890
