-,-,-
194, -230, 596
335, -332, 463
322, -331, 438
418, -298, 564
503, -185, 391
503, -185, 391
690, 39, 396
755, 151, 380
743, 176, 561
744, 149, 673
744, 149, 673
710, 141, 357
600, 165, 418
471, 133, 796
333, 25, 838
236, 10, 790
236, 10, 790
79, -32, 1015
-52, -90, 1250
-161, -115, 1206
-343, -178, 1297
-508, -364, 1527
-541, -464, 1572
-509, -309, 1336
-551, -159, 1349
-634, -213, 1637
-767, -348, 1715
-836, -309, 1537
-895, -269, 1453
-925, -190, 1482
-932, -191, 1365
-894, -157, 1162
-827, -79, 1122
-827, -79, 1122
-781, -38, 1070
-735, -28, 983
-612, 38, 1031
-463, 112, 1068
-324, 186, 1123
-135, 245, 1094
105, 238, 1067
384, 321, 1049
579, 396, 938
579, 396, 938
670, 424, 909
718, 280, 1021
777, 160, 1051
793, 252, 844
800, 314, 810
800, 314, 810
638, 162, 820
468, -40, 1009
357, -178, 1169
318, -81, 1133
273, 6, 1023
273, 6, 1023
-,-,-
353, -254, 439
534, -320, 34
634, -22, 44
634, -22, 44
889, 276, 360
1011, 326, 46
939, 375, -214
737, 387, -22
601, 365, 347
601, 365, 347
415, 275, 674
257, 238, 1029
47, 267, 1126
-268, 52, 1298
-531, -286, 1656
-607, -430, 1741
-607, -430, 1741
-700, -491, 1673
-773, -447, 1749
-835, -585, 1905
-749, -487, 1714
-737, -410, 1410
-809, -254, 1394
-930, -226, 1645
-995, -269, 1763
-955, -186, 1577
-916, -98, 1411
-958, -82, 1262
-1028, -120, 1186
-910, -42, 1124
-636, 128, 1114
-443, 211, 1012
-309, 172, 918
-154, 114, 979
128, 158, 989
465, 314, 961
465, 314, 961
710, 364, 911
874, 326, 920
1031, 322, 962
1025, 235, 986
987, 169, 1011
987, 169, 1011
902, 136, 1016
-,-,-
360, -13, 557
573, -20, 334
696, 25, 158
696, 25, 158
826, 134, 280
985, 353, 165
1079, 603, 21
989, 604, 28
989, 604, 28
765, 399, 179
491, 244, 340
214, 260, 544
-145, 274, 887
-145, 274, 887
-566, 25, 1436
-942, -362, 1760
-1224, -557, 1878
-1371, -639, 1998
-1239, -490, 1998
-1176, -422, 1848
-1245, -491, 1644
-1370, -515, 1436
-1456, -584, 1433
-1387, -515, 1451
-1245, -335, 1275
-1130, -194, 1187
-1030, -151, 1096
-481, 150, 1116
-481, 150, 1116
-148, 212, 1090
215, 275, 1037
606, 456, 977
959, 602, 1089
1108, 519, 1090
1197, 420, 1063
-,-,-
608, 273, 642
608, 273, 642
714, 318, 349
776, 344, 334
774, 224, 418
811, 283, 292
811, 283, 292
837, 478, 318
765, 486, 476
663, 269, 728
617, 111, 492
541, 172, 223
541, 172, 223
273, 101, 487
27, -84, 935
-178, -183, 1114
-441, -276, 1353
-732, -609, 1608
-853, -738, 1707
-831, -536, 1706
-940, -662, 1606
-947, -667, 1633
-858, -505, 1558
-860, -380, 1463
-905, -355, 1425
-953, -319, 1554
-975, -316, 1578
-901, -207, 1452
-901, -207, 1452
-803, -128, 1232
-716, -107, 1054
-650, -65, 963
-695, -69, 952
-697, -176, 1114
-503, -80, 1217
-156, 251, 1038
114, 449, 826
297, 510, 838
498, 414, 1068
708, 231, 1154
708, 231, 1154
930, 378, 1123
1011, 481, 1184
948, 404, 1296
838, 421, 1306
-,-,-
363, 92, 623
470, 84, 407
470, 84, 407
549, 100, 308
613, 115, 246
671, 144, 88
793, 290, 144
793, 290, 144
899, 420, 92
822, 446, 52
625, 348, 276
474, 201, 483
474, 201, 483
286, 154, 552
20, 107, 876
-231, -15, 1327
-450, -210, 1593
-659, -377, 1844
-749, -333, 1935
-805, -444, 1979
-825, -572, 1941
-835, -589, 1652
-828, -489, 1533
-796, -374, 1621
-779, -281, 1570
-728, -135, 1389
-697, -8, 1359
-697, -8, 1359
-730, -34, 1370
-737, -97, 1186
-670, -63, 947
-592, 5, 814
-528, 68, 749
-555, -40, 831
-555, -40, 831
-500, -65, 956
-338, 60, 941
-205, 182, 869
-158, 159, 990
-27, 59, 1104
272, 172, 1162
272, 172, 1162
571, 402, 1221
695, 434, 1198
675, 300, 1332
637, 116, 1334
645, 32, 1174
620, 69, 1071
620, 69, 1071
-,-,-
356, -134, 568
397, -147, 254
397, -147, 254
632, 101, -44
834, 490, -93
1072, 730, 188
1030, 690, 227
771, 503, 128
771, 503, 128
464, 334, 151
381, 256, 348
318, 169, 416
210, 126, 631
49, 204, 772
49, 204, 772
-126, 214, 920
-362, 80, 1444
-535, -86, 1963
-734, -183, 1998
-868, -311, 1998
-847, -307, 1998
-852, -400, 1998
-817, -281, 1824
-819, -235, 1645
-870, -193, 1703
-869, -146, 1678
-769, -27, 1406
-727, 50, 1165
-727, 50, 1165
-727, 56, 957
-739, 70, 837
-729, 13, 808
-671, 15, 777
-575, 104, 897
-575, 104, 897
-434, 164, 939
-202, 172, 739
55, 171, 545
293, 317, 707
552, 474, 1203
816, 558, 1398
816, 558, 1398
926, 432, 1290
915, 333, 1225
-,-,-
121, -11, 621
304, -266, 626
181, -403, 488
183, -243, 483
403, -4, 633
403, -4, 633
709, 368, 479
877, 712, 337
936, 680, 315
827, 448, 125
827, 448, 125
547, 208, 30
336, 177, 109
177, 282, 529
-21, 130, 1229
-21, 130, 1229
-307, -70, 1643
-631, -269, 1870
-881, -403, 1884
-964, -567, 1947
-793, -476, 1885
-635, -334, 1547
-680, -286, 1284
-808, -342, 1457
-973, -498, 1705
-1054, -479, 1518
-999, -314, 1455
-884, -136, 1543
-750, -55, 1482
-640, 40, 1144
-499, 117, 829
-394, 100, 710
-297, 142, 681
-178, 233, 686
-178, 233, 686
-19, 297, 778
172, 309, 994
315, 278, 1091
442, 289, 1022
506, 368, 1199
561, 374, 1338
561, 374, 1338
556, 319, 1461
509, 264, 1448
-,-,-
380, -3, 258
380, -3, 258
414, -107, 347
501, -66, 214
643, 33, 101
704, 260, 147
704, 260, 147
681, 242, 132
618, 45, 317
580, 57, 299
529, 206, 301
529, 206, 301
393, 185, 577
317, 27, 924
205, -96, 990
25, -33, 924
25, -33, 924
-234, -151, 1248
-374, -328, 1795
-443, -358, 1815
-593, -430, 1672
-702, -380, 1746
-829, -432, 1996
-890, -466, 1976
-876, -375, 1724
-810, -166, 1578
-704, 56, 1715
-646, 79, 1701
-650, 39, 1398
-647, 33, 1047
-647, 33, 1047
-645, -36, 854
-595, -101, 881
-463, -5, 973
-276, 173, 971
-35, 324, 932
96, 308, 908
96, 308, 908
214, 186, 932
468, 235, 1050
728, 362, 1134
-,-,-
204, 164, 752
360, 120, 597
349, 65, 373
387, 85, 242
387, 85, 242
412, 121, 290
396, 138, 327
489, 143, 385
575, 218, 341
575, 218, 341
585, 342, 268
580, 364, 465
477, 209, 656
337, 76, 740
337, 76, 740
249, -11, 746
249, -72, 736
222, -135, 895
86, -210, 1159
-51, -260, 1187
-51, -260, 1187
-182, -203, 1349
-339, -293, 1578
-443, -418, 1789
-431, -312, 1727
-496, -210, 1536
-629, -223, 1668
-833, -379, 1894
-958, -511, 1805
-871, -314, 1593
-749, -104, 1584
-638, 35, 1654
-578, 102, 1423
-570, 0, 1112
-576, -154, 982
-508, -115, 935
-369, 92, 932
-286, 205, 923
-286, 205, 923
-185, 192, 868
-56, 124, 890
154, 168, 854
408, 280, 803
635, 345, 925
635, 345, 925
762, 348, 1098
810, 346, 1120
-,-,-
331, 8, 716
331, 8, 716
321, 25, 569
475, 152, 172
551, 202, 329
602, 193, 652
602, 193, 652
561, 263, 366
476, 242, 379
388, -19, 687
288, -142, 774
352, 26, 725
352, 26, 725
317, 199, 652
173, 27, 841
108, -180, 1107
105, -138, 958
105, -138, 958
-65, -48, 951
-261, 11, 1395
-400, -169, 1913
-367, -129, 1889
-387, -117, 1572
-465, 16, 1534
-555, 118, 1742
-631, 111, 1997
-599, 215, 1998
-606, 212, 1998
-650, 87, 1679
-650, 87, 1679
-621, 19, 1198
-535, 35, 824
-430, 115, 692
-331, 241, 924
-230, 334, 978
-176, 330, 892
-178, 116, 764
-178, 116, 764
-113, 85, 669
27, 291, 975
226, 432, 1363
418, 402, 1329
563, 292, 1068
563, 292, 1068
575, 144, 859
528, -25, 807
510, -107, 826
-,-,-
369, 27, 348
369, 27, 348
360, -11, 296
438, -8, 509
506, -4, 499
506, -4, 499
554, 104, 359
635, 333, 387
681, 407, 632
690, 353, 764
690, 353, 764
534, 231, 491
319, 150, 290
224, -22, 552
223, -154, 832
205, -41, 756
205, -41, 756
88, 90, 723
-140, -135, 1052
-319, -409, 1371
-258, -246, 1456
-300, -63, 1280
-472, -52, 1608
-667, -292, 1998
-619, -269, 1998
-452, -114, 1700
-427, -26, 1299
-516, -4, 1400
-516, -4, 1400
-631, -42, 1798
-722, -101, 1882
-773, -198, 1396
-743, -164, 1000
-620, -55, 847
-487, 96, 702
-351, 257, 602
-295, 267, 628
-303, 111, 803
-290, -8, 983
